REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select housing indicators,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Condominium,Number of households,Number,223,units,0,v1596448552,25.4.11.1,383500,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Condominium,Number of households,Number,223,units,0,v1596448552,25.4.11.1,420500,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Not condominium,Number of households,Number,223,units,0,v1596448558,25.4.12.1,3048100,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Not condominium,Number of households,Number,223,units,0,v1596448558,25.4.12.1,3023700,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Not condominium,Number of households,Number,223,units,0,v1596448558,25.4.12.1,2974400,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, satisfaction with dwelling",Number of households,Number,223,units,0,v1596448564,25.4.13.1,3407200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, satisfaction with dwelling",Number of households,Number,223,units,0,v1596448564,25.4.13.1,3394900,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Dwelling satisfaction rating between 0 and 5,Number of households,Number,223,units,0,v1596448570,25.4.14.1,269700,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Dwelling satisfaction rating between 0 and 5,Number of households,Number,223,units,0,v1596448570,25.4.14.1,345800,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Dwelling satisfaction rating of 6 or 7,Number of households,Number,223,units,0,v1596448576,25.4.15.1,660600,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Dwelling satisfaction rating of 6 or 7,Number of households,Number,223,units,0,v1596448576,25.4.15.1,630100,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10",Number of households,Number,223,units,0,v1596448582,25.4.16.1,2476900,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10",Number of households,Number,223,units,0,v1596448582,25.4.16.1,2418900,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, satisfaction with neighbourhood",Number of households,Number,223,units,0,v1596448588,25.4.17.1,3407200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, satisfaction with neighbourhood",Number of households,Number,223,units,0,v1596448588,25.4.17.1,3394900,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Neighbourhood satisfaction rating between 0 and 5,Number of households,Number,223,units,0,v1596448594,25.4.18.1,304000,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Neighbourhood satisfaction rating between 0 and 5,Number of households,Number,223,units,0,v1596448594,25.4.18.1,305200,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Neighbourhood satisfaction rating of 6 or 7,Number of households,Number,223,units,0,v1596448600,25.4.19.1,492300,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Neighbourhood satisfaction rating of 6 or 7,Number of households,Number,223,units,0,v1596448600,25.4.19.1,572700,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10",Number of households,Number,223,units,0,v1596448612,25.4.20.1,2611000,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10",Number of households,Number,223,units,0,v1596448612,25.4.20.1,2516900,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government",Number of households,Number,223,units,0,v1596448618,25.4.21.1,36600,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government",Number of households,Number,223,units,0,v1596448618,25.4.21.1,58800,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government",Number of households,Number,223,units,0,v1596448618,25.4.21.1,34600,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved due to a natural disaster or fire,Number of households,Number,223,units,0,v1596448624,25.4.22.1,5400,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved due to a natural disaster or fire,Number of households,Number,223,units,0,v1596448624,25.4.22.1,900,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved due to a natural disaster or fire,Number of households,Number,223,units,0,v1596448624,25.4.22.1,3800,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved for a new job or job transfer,Number of households,Number,223,units,0,v1596448630,25.4.23.1,292600,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved for a new job or job transfer,Number of households,Number,223,units,0,v1596448630,25.4.23.1,204400,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved for a new job or job transfer,Number of households,Number,223,units,0,v1596448630,25.4.23.1,239600,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved for a new school,Number of households,Number,223,units,0,v1596448636,25.4.24.1,96600,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved for a new school,Number of households,Number,223,units,0,v1596448636,25.4.24.1,73400,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved for a new school,Number of households,Number,223,units,0,v1596448636,25.4.24.1,59500,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved to form own household,Number of households,Number,223,units,0,v1596448642,25.4.25.1,369700,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved to form own household,Number of households,Number,223,units,0,v1596448642,25.4.25.1,353900,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved to form own household,Number of households,Number,223,units,0,v1596448642,25.4.25.1,374500,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved to be closer to family,Number of households,Number,223,units,0,v1596448648,25.4.26.1,288200,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved to be closer to family,Number of households,Number,223,units,0,v1596448648,25.4.26.1,251100,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved to be closer to family,Number of households,Number,223,units,0,v1596448648,25.4.26.1,261500,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved because of a change in household or family size,Number of households,Number,223,units,0,v1596448654,25.4.27.1,659700,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved because of a change in household or family size,Number of households,Number,223,units,0,v1596448654,25.4.27.1,566100,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved because of a change in household or family size,Number of households,Number,223,units,0,v1596448654,25.4.27.1,484900,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved to reduce commuting time,Number of households,Number,223,units,0,v1596448660,25.4.28.1,162900,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Moved to reduce commuting time,Number of households,Number,223,units,0,v1596448660,25.4.28.1,179800,,,,0
