REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select household characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, age groups",Number of households,Number,223,units,0,v1595207978,25.4.8.1,3407200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, age groups",Number of households,Number,223,units,0,v1595207978,25.4.8.1,3394800,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,15 to 24 years,Number of households,Number,223,units,0,v1595207984,25.4.9.1,35800,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,15 to 24 years,Number of households,Number,223,units,0,v1595207984,25.4.9.1,38500,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,15 to 24 years,Number of households,Number,223,units,0,v1595207984,25.4.9.1,10000,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,25 to 34 years,Number of households,Number,223,units,0,v1595207834,25.4.10.1,213000,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,25 to 34 years,Number of households,Number,223,units,0,v1595207834,25.4.10.1,182800,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,25 to 34 years,Number of households,Number,223,units,0,v1595207834,25.4.10.1,174200,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,35 to 44 years,Number of households,Number,223,units,0,v1595207840,25.4.11.1,517500,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,35 to 44 years,Number of households,Number,223,units,0,v1595207840,25.4.11.1,503000,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,35 to 44 years,Number of households,Number,223,units,0,v1595207840,25.4.11.1,539000,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,45 to 54 years,Number of households,Number,223,units,0,v1595207846,25.4.12.1,731200,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,45 to 54 years,Number of households,Number,223,units,0,v1595207846,25.4.12.1,690400,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,45 to 54 years,Number of households,Number,223,units,0,v1595207846,25.4.12.1,661700,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207852,25.4.13.1,861700,,,,0
